ALMONDS_CATEGORY,PRIMARY,DETAILED,DESCRIPTION
13,ENTERTAINMENT,ENTERTAINMENT_CASINOS_AND_GAMBLING,"Gambling, casinos, and sports betting"
13,ENTERTAINMENT,ENTERTAINMENT_MUSIC_AND_AUDIO,"Digital and in-person music purchases, including music streaming services"
13,ENTERTAINMENT,ENTERTAINMENT_SPORTING_EVENTS_AMUSEMENT_PARKS_AND_MUSEUMS,"Purchases made at sporting events, music venues, concerts, museums, and amusement parks"
13,ENTERTAINMENT,ENTERTAINMENT_TV_AND_MOVIES,In home movie streaming services and movie theaters
13,ENTERTAINMENT,ENTERTAINMENT_VIDEO_GAMES,Digital and in-person video game purchases
13,ENTERTAINMENT,ENTERTAINMENT_OTHER_ENTERTAINMENT,"Other miscellaneous entertainment purchases, including night life and adult entertainment"
10,FOOD_AND_DRINK,FOOD_AND_DRINK_BEER_WINE_AND_LIQUOR,"Beer, Wine & Liquor Stores"
10,FOOD_AND_DRINK,FOOD_AND_DRINK_COFFEE,Purchases at coffee shops or cafes
10,FOOD_AND_DRINK,FOOD_AND_DRINK_FAST_FOOD,Dining expenses for fast food chains
10,FOOD_AND_DRINK,FOOD_AND_DRINK_GROCERIES,"Purchases for fresh produce and groceries, including farmers' markets"
10,FOOD_AND_DRINK,FOOD_AND_DRINK_RESTAURANT,"Dining expenses for restaurants, bars, gastropubs, and diners"
10,FOOD_AND_DRINK,FOOD_AND_DRINK_VENDING_MACHINES,Purchases made at vending machine operators
10,FOOD_AND_DRINK,FOOD_AND_DRINK_OTHER_FOOD_AND_DRINK,"Other miscellaneous food and drink, including desserts, juice bars, and delis"
,GENERAL_MERCHANDISE,GENERAL_MERCHANDISE_BOOKSTORES_AND_NEWSSTANDS,"Books, magazines, and news "
,GENERAL_MERCHANDISE,GENERAL_MERCHANDISE_CLOTHING_AND_ACCESSORIES,"Apparel, shoes, and jewelry"
,GENERAL_MERCHANDISE,GENERAL_MERCHANDISE_CONVENIENCE_STORES,Purchases at convenience stores
,GENERAL_MERCHANDISE,GENERAL_MERCHANDISE_DEPARTMENT_STORES,"Retail stores with wide ranges of consumer goods, typically specializing in clothing and home goods"
,GENERAL_MERCHANDISE,GENERAL_MERCHANDISE_DISCOUNT_STORES,Stores selling goods at a discounted price
,GENERAL_MERCHANDISE,GENERAL_MERCHANDISE_ELECTRONICS,Electronics stores and websites
,GENERAL_MERCHANDISE,GENERAL_MERCHANDISE_GIFTS_AND_NOVELTIES,"Photo, gifts, cards, and floral stores"
,GENERAL_MERCHANDISE,GENERAL_MERCHANDISE_OFFICE_SUPPLIES,Stores that specialize in office goods
,GENERAL_MERCHANDISE,GENERAL_MERCHANDISE_ONLINE_MARKETPLACES,"Multi-purpose e-commerce platforms such as Etsy, Ebay and Amazon"
,GENERAL_MERCHANDISE,GENERAL_MERCHANDISE_PET_SUPPLIES,Pet supplies and pet food
,GENERAL_MERCHANDISE,GENERAL_MERCHANDISE_SPORTING_GOODS,"Sporting goods, camping gear, and outdoor equipment"
,GENERAL_MERCHANDISE,GENERAL_MERCHANDISE_SUPERSTORES,"Superstores such as Target and Walmart, selling both groceries and general merchandise"
,GENERAL_MERCHANDISE,GENERAL_MERCHANDISE_TOBACCO_AND_VAPE,Purchases for tobacco and vaping products
,GENERAL_MERCHANDISE,GENERAL_MERCHANDISE_OTHER_GENERAL_MERCHANDISE,"Other miscellaneous merchandise, including toys, hobbies, and arts and crafts"
15,HOME_IMPROVEMENT,HOME_IMPROVEMENT_FURNITURE,"Furniture, bedding, and home accessories"
15,HOME_IMPROVEMENT,HOME_IMPROVEMENT_HARDWARE,"Building materials, hardware stores, paint, and wallpaper"
15,HOME_IMPROVEMENT,HOME_IMPROVEMENT_REPAIR_AND_MAINTENANCE,"Plumbing, lighting, gardening, and roofing"
15,HOME_IMPROVEMENT,HOME_IMPROVEMENT_SECURITY,Home security system purchases
15,HOME_IMPROVEMENT,HOME_IMPROVEMENT_OTHER_HOME_IMPROVEMENT,"Other miscellaneous home purchases, including pool installation and pest control"
6,MEDICAL,MEDICAL_DENTAL_CARE,Dentists and general dental care
6,MEDICAL,MEDICAL_EYE_CARE,"Optometrists, contacts, and glasses stores"
6,MEDICAL,MEDICAL_NURSING_CARE,Nursing care and facilities
6,MEDICAL,MEDICAL_PHARMACIES_AND_SUPPLEMENTS,Pharmacies and nutrition shops
6,MEDICAL,MEDICAL_PRIMARY_CARE,Doctors and physicians
6,MEDICAL,MEDICAL_VETERINARY_SERVICES,Prevention and care procedures for animals
6,MEDICAL,MEDICAL_OTHER_MEDICAL,"Other miscellaneous medical, including blood work, hospitals, and ambulances"
11,PERSONAL_CARE,PERSONAL_CARE_GYMS_AND_FITNESS_CENTERS,"Gyms, fitness centers, and workout classes"
11,PERSONAL_CARE,PERSONAL_CARE_HAIR_AND_BEAUTY,"Manicures, haircuts, waxing, spa/massages, and bath and beauty products "
11,PERSONAL_CARE,PERSONAL_CARE_LAUNDRY_AND_DRY_CLEANING,"Wash and fold, and dry cleaning expenses"
11,PERSONAL_CARE,PERSONAL_CARE_OTHER_PERSONAL_CARE,"Other miscellaneous personal care, including mental health apps and services"
,GENERAL_SERVICES,GENERAL_SERVICES_ACCOUNTING_AND_FINANCIAL_PLANNING,"Financial planning, and tax and accounting services"
,GENERAL_SERVICES,GENERAL_SERVICES_AUTOMOTIVE,"Oil changes, car washes, repairs, and towing"
,GENERAL_SERVICES,GENERAL_SERVICES_CHILDCARE,Babysitters and daycare
,GENERAL_SERVICES,GENERAL_SERVICES_CONSULTING_AND_LEGAL,Consulting and legal services
13,GENERAL_SERVICES,GENERAL_SERVICES_EDUCATION,"Elementary, high school, professional schools, and college tuition"
5,GENERAL_SERVICES,GENERAL_SERVICES_INSURANCE,"Insurance for auto, home, and healthcare"
,GENERAL_SERVICES,GENERAL_SERVICES_POSTAGE_AND_SHIPPING,"Mail, packaging, and shipping services"
,GENERAL_SERVICES,GENERAL_SERVICES_STORAGE,Storage services and facilities
,GENERAL_SERVICES,GENERAL_SERVICES_OTHER_GENERAL_SERVICES,"Other miscellaneous services, including advertising and cloud storage "
14,GOVERNMENT_AND_NON_PROFIT,GOVERNMENT_AND_NON_PROFIT_DONATIONS,"Charitable, political, and religious donations"
,GOVERNMENT_AND_NON_PROFIT,GOVERNMENT_AND_NON_PROFIT_GOVERNMENT_DEPARTMENTS_AND_AGENCIES,"Government departments and agencies, such as driving licences, and passport renewal"
,GOVERNMENT_AND_NON_PROFIT,GOVERNMENT_AND_NON_PROFIT_TAX_PAYMENT,"Tax payments, including income and property taxes"
,GOVERNMENT_AND_NON_PROFIT,GOVERNMENT_AND_NON_PROFIT_OTHER_GOVERNMENT_AND_NON_PROFIT,Other miscellaneous government and non-profit agencies
4,TRANSPORTATION,TRANSPORTATION_BIKES_AND_SCOOTERS,Bike and scooter rentals
4,TRANSPORTATION,TRANSPORTATION_GAS,Purchases at a gas station
4,TRANSPORTATION,TRANSPORTATION_PARKING,Parking fees and expenses
4,TRANSPORTATION,TRANSPORTATION_PUBLIC_TRANSIT,"Public transportation, including rail and train, buses, and metro"
4,TRANSPORTATION,TRANSPORTATION_TAXIS_AND_RIDE_SHARES,Taxi and ride share services
4,TRANSPORTATION,TRANSPORTATION_TOLLS,Toll expenses
4,TRANSPORTATION,TRANSPORTATION_OTHER_TRANSPORTATION,Other miscellaneous transportation expenses
20,TRAVEL,TRAVEL_FLIGHTS,Airline expenses
20,TRAVEL,TRAVEL_LODGING,"Hotels, motels, and hosted accommodation such as Airbnb"
20,TRAVEL,TRAVEL_RENTAL_CARS,"Rental cars, charter buses, and trucks"
20,TRAVEL,TRAVEL_OTHER_TRAVEL,Other miscellaneous travel expenses
2,RENT_AND_UTILITIES,RENT_AND_UTILITIES_GAS_AND_ELECTRICITY,Gas and electricity bills
2,RENT_AND_UTILITIES,RENT_AND_UTILITIES_INTERNET_AND_CABLE,Internet and cable bills
1,RENT_AND_UTILITIES,RENT_AND_UTILITIES_RENT,Rent payment
2,RENT_AND_UTILITIES,RENT_AND_UTILITIES_SEWAGE_AND_WASTE_MANAGEMENT,Sewage and garbage disposal bills
2,RENT_AND_UTILITIES,RENT_AND_UTILITIES_TELEPHONE,Cell phone bills
2,RENT_AND_UTILITIES,RENT_AND_UTILITIES_WATER,Water bills
2,RENT_AND_UTILITIES,RENT_AND_UTILITIES_OTHER_UTILITIES,Other miscellaneous utility bills
